afid,organization,addresstext,addresspart,citygroup,affil ID,affil Standardized Name,affil Lat,affil Lng
109869034,"rbf consulting, inc##  ##",,,,109869034,RBF Consulting,33.6514201,-117.7175496
109869035,orbital analytics ##  ##,,101 south players club drive,"tucson, arizona 85745",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869067,energy balance laboratory ##  ##,,,"baton rouge, la",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869089,sapphaire technologies direct ## marketing centre of excellence ## bank of america,,,"charlotte, nc",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869092,aircraft maintenance division ## air mobility command ##,,,,109869092,Travis AFB Main Gate,38.2718505,-121.9538748
109869102,georgia center for cosmetic and implant dentistry ##  ##,,,"marietta, ga",109869102,The Georgia Center for Cosmetic & Implant Dentistry,33.9521653,-84.4120634
109869112,advanced aerial refueling systems ## boeing integrated defensive systems ##,,2401 east wardlow road,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869113,forensics at mount san antonio college ## department of communication ##,,,,109869113,Mt. San Antonio College,34.0476932,-117.8448584
109869120,naval institute ## dental and biomedical research ##,,,"great lakes, il",109869120,USO of Illinois-Great Lakes Center,42.312403,-87.8415418
109869132,"deputy, finance and cost management branch ##  ##",,526th icbm systems wing,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869140,geothermal consultant ##  ##,,,"salt lake city, ut",109869140,Cyrq Energy Inc,40.7632471,-111.8915344
109869149,pcs edventures inc##  ##,,,boise id,109869149,"EdventuresLab Boise After School, Camps, and Robotics",43.5970237,-116.1856156
109869150,signal centers assistive technology group ##  ##,,,chattanooga,109869150,"Signal Centers, Inc.",35.0264765,-85.2456637
109869160,"departments of internal medicine, hepatology ##  ##",,,,109869160,Internal Medicine-Gi Division,37.5400656,-77.4313437
109869171,department of medicine ## division of hospital medicine ##,,,"san francisco, ca",109869171,U C San Francisco (UCSF),37.7629651,-122.4574487
109869190,nutrient management spear program ##  ##,,,,109869190,Cornell University,42.4534492,-76.4735027
109869196,department of environment and conservation ## science division ##,,50 hayman road,"kensington, wa 6152",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869200,"mayoue, bates and nolen ##  ##",,,"atlanta, ga",109869200,Boyd Collar Nolen & Tuggle,33.8741414,-84.4583251
109869202,departmentof molecular physiology and biophysics ##  ##,,,,109869202,Department of Molecular Physiology and Biophysics,36.142027,-86.8018228
109869205,clare gladwin intermediate school district ##  ##,,,,109869205,Clare-Gladwin Regional Education Service District (RESD),43.9632912,-84.7645855
109869218,fundao municipal lar escola francisco de paula ## secretaria municipal da pessoa com deficincia ##,,,,109869218,Secretaria Municipal da Pessoa com Deficiência - CIAD Mestre Candeia,-22.9063352,-43.1936147
109869224,portland center for the study of chronic ## comorbid mental and physical disorders ## health services research and development service,,,portland,109869224,Portland Va Medical Center: Ganzini Linda MD,45.4962331,-122.6834829
109869245,"national network for public, health leadership development ##  ##",,,,109869245,Northwest Center for Public Health Practice,47.6610767,-122.316144
109869254,department of aerospace engineering ## 206 e talbot laboratory ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869259,"training, empowerment partners llc ##  ##",,,"cleveland, ga",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869260,"division of endocrinology, diabetes and metabolism ## department of internal medicine ##",,,,109869260,"Division of Endocrinology, Diabetes, and Metabolism",39.9475053,-75.1932096
109869272,dewberry ##  ##,,,"parsippany, nj",109869272,Dewberry,40.847507,-74.4255581
109869282,"aids clinical trials group operations, center ##  ##",,,"silver spring, md",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869285,glycomedical research institute ##  ##,,,"san diego, ca",109869285,University of California San Diego,32.8800604,-117.2340135
109869291,"docomo communications laboratories, inc##  ##",,,,109869291,"DOCOMO Innovations, Inc.",37.4079628,-122.1462858
109869304,division of biostatistics ## office of clinical research ##,,,minneapolis,109869304,University of Minnesota,44.97399,-93.2277285
109869371,north carolina disease event tracking and epidemiologic collection tool ##  ##,,,"chapel hill, nc",109869371,University of North Carolina at Chapel Hill,35.9049122,-79.0469134
109869385,cancer vaccine center ##  ##,,,"boston, ma 02115",109869385,Dana Farber Cancer Institute: Wu Catherine J MD,42.3376985,-71.1072967
109869392,departmentof counseling and school psychology ## university of wisconsin river falls ##,,,,109869392,University of Wisconsin - River Falls,44.8529252,-92.6213757
109869398,seacoast cancer center ##  ##,,,"portsmouth, nh",109869398,Seacoast Cancer Center,43.2132861,-70.8741301
109869401,halozyme therapeutics ##  ##,,,"san diego, ca",109869401,Halozyme Therapeutics Inc,32.908521,-117.229578
109869402,hybrid silica technologies ##  ##,,,"cambridge, ma",109869402,Hybrid Silica Technologies Inc,42.3633164,-71.1141696
109869406,ferrovial agraman us corporation ## chase park one ##,,7700 chevy chase drive,"austin, tx 78752",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869419,oakwood school ##  ##,,,"north hollywood, ca",109869419,Oakwood Elementary School,34.1502691,-118.3759109
109869420,physicians' health study ##  ##,,,"boston, ma",109869420,Brigham and Women's Hospital,42.3359248,-71.1066945
109869423,education resources ## american college of chest physicians ##,,,,109869423,American College of Chest Physicians,42.1017678,-87.8228446
109869436,department of human physiology ## institute of neuroscience ##,,,eugene,109869436,Institute of Neuroscience,44.045952,-123.0719833
109869438,"departments of medicine, biomedical engineering ## physics ctrain group ## campus box 8215",,660 south euclid ave.,"st louis, mo 63110",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869439,diabetes control and complications trial ## epidemiology of diabetes interventions and complications ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869441,cambridge systematics inc##  ##,,1 parkview drive,"mount vernon, oh 43050",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869447,pharmabio ## jacobs engineering ##,,,,109869447,Jacobs,40.0700922,-75.3048671
